state,date,cases_cumulative,deaths_cumulative,cases_perday,deaths_perday,population,cases per 100K,deaths per 100K,Postal Code,fips
Alabama,2020-03-13,6,0,6,0,4903185,0.122369439,0,AL,1
Alabama,2020-03-14,12,0,6,0,4903185,0.244738879,0,AL,1
Alabama,2020-03-15,23,0,11,0,4903185,0.469082851,0,AL,1
Alabama,2020-03-16,29,0,6,0,4903185,0.591452291,0,AL,1
Alabama,2020-03-17,39,0,10,0,4903185,0.795401356,0,AL,1
Alabama,2020-03-18,51,0,12,0,4903185,1.040140235,0,AL,1
Alabama,2020-03-19,78,0,27,0,4903185,1.590802713,0,AL,1
Alabama,2020-03-20,106,0,28,0,4903185,2.161860097,0,AL,1
Alabama,2020-03-21,131,0,25,0,4903185,2.671732761,0,AL,1
Alabama,2020-03-22,157,0,26,0,4903185,3.202000332,0,AL,1
Alabama,2020-03-23,196,0,39,0,4903185,3.997401689,0,AL,1
Alabama,2020-03-24,242,0,46,0,4903185,4.935567391,0,AL,1
Alabama,2020-03-25,386,1,144,1,4903185,7.872433938,0.020394907,AL,1
Alabama,2020-03-26,538,3,152,2,4903185,10.97245974,0.06118472,AL,1
Alabama,2020-03-27,639,4,101,1,4903185,13.0323453,0.081579626,AL,1
Alabama,2020-03-28,720,4,81,0,4903185,14.68433273,0.081579626,AL,1
Alabama,2020-03-29,830,5,110,1,4903185,16.92777246,0.101974533,AL,1
Alabama,2020-03-30,947,11,117,6,4903185,19.31397653,0.224343972,AL,1
Alabama,2020-03-31,999,14,52,3,4903185,20.37451167,0.285528692,AL,1
Alabama,2020-04-01,1108,28,109,14,4903185,22.59755649,0.571057384,AL,1
Alabama,2020-04-02,1270,32,162,4,4903185,25.90153135,0.65263701,AL,1
Alabama,2020-04-03,1535,38,265,6,4903185,31.30618159,0.77500645,AL,1
Alabama,2020-04-04,1632,44,97,6,4903185,33.28448753,0.897375889,AL,1
Alabama,2020-04-05,1840,45,208,1,4903185,37.5266281,0.917770796,AL,1
Alabama,2020-04-06,2005,53,165,8,4903185,40.89178768,1.080930049,AL,1
Alabama,2020-04-07,2197,64,192,11,4903185,44.80760975,1.305274021,AL,1
Alabama,2020-04-08,2498,67,301,3,4903185,50.94647663,1.366458741,AL,1
Alabama,2020-04-09,2838,78,340,11,4903185,57.88074486,1.590802713,AL,1
Alabama,2020-04-10,3008,80,170,2,4903185,61.34787898,1.631592526,AL,1
Alabama,2020-04-11,3262,93,254,13,4903185,66.52818525,1.896726312,AL,1
Alabama,2020-04-12,3583,93,321,0,4903185,73.07495026,1.896726312,AL,1
Alabama,2020-04-13,3805,104,222,11,4903185,77.60261952,2.121070284,AL,1
Alabama,2020-04-14,3953,114,148,10,4903185,80.6210657,2.32501935,AL,1
Alabama,2020-04-15,4241,123,288,9,4903185,86.49479879,2.508573509,AL,1
Alabama,2020-04-16,4404,137,163,14,4903185,89.81916856,2.794102201,AL,1
Alabama,2020-04-17,4572,151,168,14,4903185,93.24551287,3.079630893,AL,1
Alabama,2020-04-18,4723,147,151,-4,4903185,96.32514376,2.998051267,AL,1
Alabama,2020-04-19,4903,160,180,13,4903185,99.99622694,3.263185052,AL,1
Alabama,2020-04-20,5078,164,175,4,4903185,103.5653356,3.344764678,AL,1
Alabama,2020-04-21,5327,186,249,22,4903185,108.6436673,3.793452623,AL,1
Alabama,2020-04-22,5610,201,283,15,4903185,114.4154259,4.099376222,AL,1
Alabama,2020-04-23,5832,197,222,-4,4903185,118.9430952,4.017796595,AL,1
Alabama,2020-04-24,6026,209,194,12,4903185,122.899707,4.262535474,AL,1
Alabama,2020-04-25,6213,213,187,4,4903185,126.7135546,4.344115101,AL,1
Alabama,2020-04-26,6421,219,208,6,4903185,130.9556951,4.46648454,AL,1
Alabama,2020-04-27,6539,228,118,9,4903185,133.3622941,4.650038699,AL,1
Alabama,2020-04-28,6750,242,211,14,4903185,137.6656194,4.935567391,AL,1
Alabama,2020-04-29,6925,262,175,20,4903185,141.234728,5.343465523,AL,1
Alabama,2020-04-30,7068,272,143,10,4903185,144.1511997,5.547414589,AL,1
Alabama,2020-05-01,7294,289,226,17,4903185,148.7604486,5.894128,AL,1
Alabama,2020-05-02,7611,288,317,-1,4903185,155.225634,5.873733094,AL,1
Alabama,2020-05-03,7888,290,277,2,4903185,160.8750231,5.914522907,AL,1
Alabama,2020-05-04,8112,298,224,8,4903185,165.4434821,6.07768216,AL,1
